target,gr_code,model,global_rmsd,lddt,tm_score,gdt_ts,clashscore,cc_mask,cc_peaks,tempy_mi,tempy_smoc,ai,ai_bb,ai_base,id
R1136,489,4,41.21,0.411194954,0.1978,7.487,315.66,0.0791,-0.2512,0.021185996,0.492326611,0.306401102,0.284090909,0.335050072,978
R1136,489,5,40.94,0.366231561,0.1654,6.35,365.43,0.1044,-0.2553,0.018322672,0.472268837,0.288488037,0.269385027,0.313018598,979
R1138,29,1,59.48,0.249682065,0.19,2.951,1.3,0.0257,-0.3096,0.024983249,0.273984165,0.228727913,0.212615741,0.249514708,980
R1138,29,2,59.48,0.249682065,0.19,2.951,1.3,0.0257,-0.3096,0.024983249,0.273984165,0.228727913,0.212615741,0.249514708,981
R1138,35,1,72.04,0.499529091,0.1577,4.514,0.91,0.024,-0.4578,0.009068027,0.288991651,0.122057769,0.104513889,0.144691653,982
R1138,35,2,78.28,0.52208365,0.1595,5.799,0.87,0.016,-0.4634,0.009630663,0.311171176,0.111364674,0.115162037,0.115126176,983
R1138,35,3,79.88,0.515255179,0.169,5.903,0.95,0.0323,-0.4696,0.008451451,0.179728373,0.108104584,0.09837963,0.120651038,984
R1138,35,4,76.42,0.51324334,0.1692,5.278,1,0.0321,-0.4693,0.009494924,0.265850309,0.108365391,0.111226852,0.112737046,985
R1138,35,5,70.81,0.504136468,0.1486,5.729,0.82,0.0509,-0.4252,0.009609524,0.15779163,0.145139206,0.134259259,0.15917575,986
R1138,54,1,40.21,0.554395565,0.2159,4.549,8.01,0.0288,-0.3182,0.027455588,0.369183452,0.25689509,0.230555556,0.29281768,987
R1138,54,2,36.89,0.591224784,0.252,7.153,3.25,0.0325,-0.3277,0.020654415,0.327851215,0.242420291,0.231365741,0.256682096,988
R1138,54,3,39.73,0.560078213,0.1864,4.514,4.81,0.0219,-0.3043,0.028678546,0.396413494,0.243659125,0.236921296,0.252351799,989
R1138,54,4,47.74,0.572199248,0.2327,7.083,2.9,0.0267,-0.3739,0.019961238,0.344778531,0.200430332,0.197337963,0.20441989,990
R1138,54,5,46.41,0.575826106,0.1995,4.792,5.59,0.024,-0.3397,0.02553557,0.309484778,0.234661277,0.228472222,0.242645961,991
R1138,76,1,38.64,0.591602083,0.3175,8.611,3.81,0.0311,-0.3382,0.02349777,0.298215691,0.215361544,0.192824074,0.246976258,992
